# Interpolated propeller performance at 30 N (required) and 11 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@30N  Thrust@30N (N)  Power@30N (W)  Torque@30N (Nm)     Cp@30N     Ct@30N    FOM@30N  Eff@30N (N/W)  RPM@11N  Thrust@11N (N)  Power@11N (W)  Torque@11N (Nm)     Cp@11N     Ct@11N    FOM@11N  Eff@11N (N/W)
         16x16     5164         30.5000       501.7210           0.9178     0.0570     0.1224     0.5998         0.0617     3100              11       113.1900           0.3422     0.0588     0.1220     0.5784         0.0997
   13x65E(F2B)     9101         30.5000       503.0460           0.5264     0.0304     0.0923     0.7346         0.0608     5497              11       114.6330           0.1962     0.0309     0.0906     0.7040         0.0980
        13x65E     9116         30.5000       503.4340           0.5262     0.0303     0.0920     0.7346         0.0608     5506              11       114.8280           0.1961     0.0307     0.0902     0.7031         0.0980
         13x4E    10862         30.5000       504.7490           0.4431     0.0180     0.0647     0.7319         0.0606     6607              11       117.1400           0.1673     0.0183     0.0629     0.6875         0.0952
          13x6     9332         30.5000       504.7990           0.5141     0.0281     0.0873     0.7327         0.0609     5658              11       116.5880           0.1942     0.0288     0.0853     0.6905         0.0961
          13x7     8930         30.5000       506.8030           0.5413     0.0319     0.0944     0.7254         0.0603     5394              11       116.9840           0.2041     0.0327     0.0926     0.6869         0.0960
         13x7F     8610         30.5000       506.8460           0.5587     0.0353     0.1013     0.7287         0.0607     5206              11       114.5200           0.2077     0.0358     0.0996     0.7003         0.0976
         13x4W     9833         30.5000       507.5950           0.4916     0.0239     0.0778     0.7253         0.0603     5995              11       117.5610           0.1873     0.0245     0.0756     0.6779         0.0936
        14x10E     7351         30.5000       509.5620           0.6563     0.0393     0.1032     0.6741         0.0606     4418              11       115.6160           0.2441     0.0401     0.1022     0.6490         0.0983
         14x11     6820         30.5000       513.3290           0.7143     0.0496     0.1200     0.6677         0.0599     4107              11       116.3750           0.2672     0.0511     0.1190     0.6404         0.0960
         135x9     8122         30.5000       514.2900           0.6027     0.0355     0.0981     0.6898         0.0596     4905              11       117.4420           0.2268     0.0366     0.0968     0.6563         0.0946
          13x4    10732         30.5000       514.8000           0.4567     0.0193     0.0673     0.7213         0.0595     6545              11       120.8950           0.1744     0.0198     0.0650     0.6683         0.0923
          13x8     8679         30.5000       519.5660           0.5689     0.0361     0.1012     0.7127         0.0592     5241              11       118.6930           0.2140     0.0371     0.0997     0.6774         0.0943
         125x6     9374         30.5000       521.0170           0.5278     0.0342     0.1000     0.7366         0.0590     5680              11       119.5760           0.1983     0.0350     0.0978     0.6982         0.0937
       12x47SF     9232         30.5000       521.1840           0.5369     0.0441     0.1215     0.7665         0.0589     5576              11       115.2350           0.1945     0.0435     0.1193     0.7563         0.0976
       12x58SF     9791         30.5000       522.0620           0.5078     0.0371     0.1080     0.7646         0.0587     5934              11       114.5350           0.1834     0.0365     0.1061     0.7558         0.0966
         13x8E     8614         30.5000       522.1520           0.5755     0.0370     0.1028     0.7097         0.0589     5203              11       117.8830           0.2141     0.0377     0.1014     0.6830         0.0949
        135x10     7624         30.5000       522.3500           0.6491     0.0433     0.1109     0.6814         0.0591     4585              11       119.4640           0.2434     0.0446     0.1098     0.6508         0.0950
       12x45MR    10560         30.5000       526.1170           0.4738     0.0298     0.0928     0.7588         0.0583     6401              11       119.3760           0.1757     0.0299     0.0908     0.7296         0.0936
       12x38SF    10016         30.5000       527.0610           0.5027     0.0351     0.1034     0.7550         0.0579     6072              11       116.6040           0.1829     0.0347     0.1012     0.7413         0.0948
          13x9     7953         30.5000       527.9060           0.6331     0.0479     0.1209     0.6997         0.0579     4789              11       119.9730           0.2366     0.0491     0.1194     0.6698         0.0935
