# Interpolated propeller performance at 32 N (required) and 12 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@32N  Thrust@32N (N)  Power@32N (W)  Torque@32N (Nm)     Cp@32N     Ct@32N    FOM@32N  Eff@32N (N/W)  RPM@12N  Thrust@12N (N)  Power@12N (W)  Torque@12N (Nm)     Cp@12N     Ct@12N    FOM@12N  Eff@12N (N/W)
        17x12W     4700              32       435.5380           0.8699     0.0486     0.1226     0.7034         0.0754     2955         12.5000       109.8390           0.3521     0.0501     0.1217     0.6767         0.1153
          16x8     5954              32       436.7260           0.6991     0.0328     0.0971     0.7355         0.0735     3721         12.5000       113.5700           0.2843     0.0338     0.0958     0.7003         0.1144
          16x7     6255              32       437.7310           0.6617     0.0280     0.0876     0.7381         0.0741     3943         12.5000       111.9080           0.2702     0.0289     0.0862     0.7005         0.1126
     16x7E(3D)     6551              32       437.9390           0.6316     0.0243     0.0797     0.7385         0.0743     4125         12.5000       112.2270           0.2557     0.0249     0.0785     0.7060         0.1133
          16x6     6593              32       439.4540           0.6298     0.0239     0.0787     0.7351         0.0739     4154         12.5000       113.9740           0.2582     0.0247     0.0774     0.6932         0.1118
         16x8E     6299              32       442.3250           0.6634     0.0277     0.0863     0.7307         0.0734     3971         12.5000       111.4570           0.2680     0.0282     0.0852     0.7024         0.1127
         18x14     4876              32       446.6040           0.8676     0.0336     0.0901     0.6425         0.0726     3053         12.5000       114.0180           0.3531     0.0348     0.0896     0.6149         0.1112
         17x13     4780              32       448.6970           0.8847     0.0479     0.1188     0.6806         0.0728     3007         12.5000       112.8790           0.3582     0.0494     0.1181     0.6551         0.1110
        17x12E     5183              32       450.8010           0.8215     0.0380     0.1012     0.6773         0.0721     3232         12.5000       115.9560           0.3307     0.0388     0.1005     0.6535         0.1128
         16x10     5590              32       451.8550           0.7605     0.0402     0.1094     0.7175         0.0723     3489         12.5000       117.2060           0.3083     0.0414     0.1082     0.6863         0.1123
       15x55MR     7135              32       451.9020           0.6017     0.0271     0.0874     0.7610         0.0713     4471         12.5000       115.6410           0.2414     0.0275     0.0860     0.7341         0.1117
  205x205E(CD)     3325              32       452.0600           1.2479     0.0509     0.1091     0.5646         0.0748     2083         12.5000       113.6580           0.5003     0.0521     0.1087     0.5492         0.1155
         16x4W     7150              32       453.9910           0.6036     0.0196     0.0672     0.7090         0.0710     4496         12.5000       120.4830           0.2499     0.0204     0.0657     0.6594         0.1068
         16x4E     8157              32       455.5570           0.5313     0.0133     0.0517     0.7067         0.0706     5153         12.5000       119.6670           0.2193     0.0137     0.0505     0.6598         0.1057
        16x10E     5945              32       456.0840           0.7306     0.0343     0.0973     0.7055         0.0705     3708         12.5000       117.4540           0.2942     0.0351     0.0963     0.6787         0.1109
          15x7     6898              32       464.2940           0.6407     0.0309     0.0935     0.7389         0.0693     4325         12.5000       120.8020           0.2606     0.0317     0.0920     0.7022         0.1066
         15x6E     7709              32       464.9790           0.5723     0.0220     0.0747     0.7394         0.0695     4860         12.5000       118.9320           0.2318     0.0225     0.0734     0.7056         0.1065
          15x6     7260              32       466.0000           0.6086     0.0264     0.0843     0.7379         0.0694     4562         12.5000       121.6230           0.2484     0.0272     0.0827     0.6982         0.1058
      155x12-4     4589              32       467.2670           0.9521     0.0846     0.1789     0.7137         0.0705     2877         12.5000       118.7060           0.3869     0.0894     0.1809     0.6869         0.1089
         15x7E     7307              32       467.8350           0.6065     0.0260     0.0831     0.7355         0.0692     4587         12.5000       120.3030           0.2449     0.0265     0.0818     0.7048         0.1070
          15x8     6604              32       471.2940           0.6744     0.0353     0.1016     0.7310         0.0689     4153         12.5000       120.8180           0.2737     0.0362     0.1002     0.6986         0.1055
         15x8E     7029              32       472.0520           0.6403     0.0298     0.0902     0.7262         0.0679     4397         12.5000       121.6010           0.2581     0.0303     0.0890     0.6976         0.1063
         16x12     5396              32       474.6770           0.8264     0.0469     0.1173     0.6836         0.0690     3364         12.5000       122.3760           0.3342     0.0483     0.1165     0.6565         0.1077
         15x4E     9024              32       478.5670           0.5063     0.0143     0.0547     0.7153         0.0669     5697         12.5000       125.3240           0.2080     0.0147     0.0533     0.6705         0.1014
         15x4W     8013              32       479.2150           0.5708     0.0204     0.0694     0.7151         0.0668     5063         12.5000       125.3450           0.2359     0.0211     0.0678     0.6672         0.1003
       14x55MR     8043              32       484.4920           0.5745     0.0288     0.0907     0.7573         0.0662     5064         12.5000       122.4700           0.2305     0.0291     0.0893     0.7317         0.1027
       14x47SF     7386              32       485.6490           0.6224     0.0369     0.1072     0.7602         0.0668     4636         12.5000       121.5570           0.2451     0.0366     0.1056     0.7482         0.1060
         15x10     6292              32       485.9170           0.7298     0.0421     0.1120     0.7093         0.0668     3959         12.5000       123.0710           0.2957     0.0432     0.1109     0.6811         0.1023
        16x12E     5748              32       487.0890           0.8010     0.0401     0.1036     0.6632         0.0668     3581         12.5000       125.0370           0.3219     0.0411     0.1029     0.6407         0.1050
         16x13     5347              32       487.6580           0.8572     0.0495     0.1194     0.6658         0.0671     3332         12.5000       125.5840           0.3462     0.0510     0.1188     0.6403         0.1049
          14x6     8087              32       496.4900           0.5848     0.0290     0.0898     0.7398         0.0647     5099         12.5000       128.3870           0.2382     0.0297     0.0880     0.7026         0.0982
         15x11     6194              32       497.9600           0.7615     0.0455     0.1157     0.6914         0.0650     3882         12.5000       126.6910           0.3081     0.0466     0.1148     0.6646         0.1004
        15x10E     6646              32       497.9950           0.7084     0.0366     0.1004     0.6925         0.0652     4168         12.5000       126.6910           0.2850     0.0374     0.0994     0.6680         0.1008
         14x6E     8594              32       498.6840           0.5506     0.0241     0.0793     0.7388         0.0648     5411         12.5000       127.9900           0.2223     0.0245     0.0777     0.7067         0.0998
          14x7     7686              32       501.0080           0.6182     0.0338     0.0991     0.7352         0.0645     4840         12.5000       128.1060           0.2509     0.0346     0.0974     0.7011         0.0990
         16x14     5306              32       502.8730           0.8919     0.0523     0.1214     0.6448         0.0650     3304         12.5000       129.4740           0.3597     0.0539     0.1209     0.6216         0.1015
         14x7E     8181              32       502.8810           0.5846     0.0283     0.0876     0.7313         0.0640     5150         12.5000       128.6030           0.2356     0.0287     0.0862     0.7028         0.0984
         14x4W     8946              32       508.4490           0.5426     0.0220     0.0734     0.7214         0.0630     5645         12.5000       133.8270           0.2233     0.0226     0.0715     0.6749         0.0951
         14x5N     9663              32       509.9470           0.5016     0.0174     0.0628     0.7213         0.0632     6132         12.5000       133.7870           0.2067     0.0178     0.0609     0.6732         0.0941
  20x225EP(CD)     3396              32       510.5440           1.3784     0.0639     0.1198     0.5174         0.0664     2122         12.5000       128.9080           0.5502     0.0652     0.1195     0.5053         0.1036
          14x8     7368              32       510.9070           0.6568     0.0391     0.1078     0.7219         0.0634     4623         12.5000       131.3670           0.2658     0.0400     0.1062     0.6906         0.0979
         15x12     6123              32       512.2110           0.7944     0.0486     0.1186     0.6709         0.0630     3827         12.5000       131.0960           0.3210     0.0499     0.1177     0.6457         0.0979
      15x135-3     5327              32       513.8820           0.9070     0.0729     0.1559     0.6736         0.0636     3317         12.5000       132.7390           0.3674     0.0755     0.1552     0.6460         0.0990
   13x55MRF-RH     9037              32       520.9180           0.5501     0.0316     0.0967     0.7582         0.0615     5682         12.5000       132.6930           0.2203     0.0319     0.0950     0.7325         0.0959
       13x47SF     8341              32       522.1970           0.5940     0.0408     0.1150     0.7630         0.0619     5245         12.5000       130.1140           0.2334     0.0404     0.1132     0.7530         0.0980
        14x85E     7839              32       522.4330           0.6335     0.0334     0.0954     0.7040         0.0616     4930         12.5000       131.8820           0.2548     0.0339     0.0942     0.6791         0.0955
