# Propeller performance at 17 N required thrust
# Also evaluated at 8 N target thrust
# All units in SI (N, W, Nm, N/W)
# ------------------------------------------------------------

     Propeller  RPM at 17 N  Power at 17 N (W)  Torque at 17 N (Nm)  Efficiency at 17 N (N/W)  RPM at 8 N  Power at 8 N (W)  Torque at 8 N (Nm)  Efficiency at 8 N (N/W)
         105x6         9341           267.9100               0.2728                    0.0639        6594           96.7000              0.1389                   0.0881
   10x38MRF-RH        10273           267.5900               0.2475                    0.0639        7255           95.4800              0.1243                   0.0888
   10x45MRF-RH        10553           267.9600               0.2414                    0.0638        7453           95.5300              0.1216                   0.0890
         12x11         6707           269.7200               0.3806                    0.0638        4712           97.1800              0.1932                   0.0885
        105x45        11275           267.7000               0.2261                    0.0638        8004           97.1300              0.1163                   0.0865
       10x45MR        10480           268.4400               0.2436                    0.0637        7401           96.1200              0.1227                   0.0884
         11x8E         8319           269.5200               0.3073                    0.0636        5866           95.8400              0.1553                   0.0884
          11x8         8151           268.7000               0.3133                    0.0636        5737           97.1300              0.1594                   0.0878
        13x13N         6290           272.4500               0.4091                    0.0633        4411           98.2900              0.2079                   0.0882
         11x8F         8439           272.7000               0.3066                    0.0629        5959           96.7800              0.1549                   0.0871
         13x14         5614           277.8800               0.4666                    0.0625        3961           98.4500              0.2361                   0.0859
       10x55MR         9832           273.3800               0.2650                    0.0624        6944           97.1400              0.1333                   0.0867
         10x5E        10800           273.5400               0.2414                    0.0624        7629           98.3100              0.1221                   0.0864
        11x85E         8240           275.8900               0.3182                    0.0621        5802           98.5600              0.1606                   0.0863
        10x6-4         8609           278.5700               0.3072                    0.0616        6084          100.7800              0.1577                   0.0838
          10x4        11484           278.1400               0.2307                    0.0614        8144          101.1700              0.1181                   0.0834
  10x58EP(F2B)        10213           278.5800               0.2597                    0.0613        7210           99.4800              0.1311                   0.0852
          10x5        10664           279.0100               0.2489                    0.0613        7540          101.1000              0.1268                   0.0840
          11x9         8038           278.0500               0.3303                    0.0612        5645          100.6200              0.1678                   0.0850
       13x135N         6276           281.9000               0.4247                    0.0612        4400          101.7800              0.2155                   0.0852
        10x7SF         8297           281.2900               0.3216                    0.0610        5844           98.3000              0.1594                   0.0864
         10x6E        10248           280.8300               0.2608                    0.0608        7233          100.3400              0.1317                   0.0845
        95x5MR        10939           279.8300               0.2442                    0.0608        7718           99.5400              0.1226                   0.0852
         12x12         6677           284.1100               0.4029                    0.0607        4688          102.2000              0.2040                   0.0843
          10x6        10120           283.7800               0.2673                    0.0601        7148          102.2200              0.1360                   0.0827
          10x3        13012           285.7100               0.2098                    0.0595        9245          105.3500              0.1083                   0.0801
        12x12N         6880           288.2000               0.3986                    0.0593        4834          103.7300              0.2020                   0.0822
         10x6F        10732           288.3400               0.2558                    0.0592        7576          103.6300              0.1293                   0.0820
        9x37SF        13186           288.3800               0.2085                    0.0591        9336          101.5300              0.1030                   0.0834
         10x7E         9893           290.4200               0.2797                    0.0587        6983          103.0200              0.1411                   0.0816
        9x41SF        12774           290.8000               0.2167                    0.0587        9047          101.7100              0.1072                   0.0827
        9x38SF        11953           290.6200               0.2321                    0.0586        8442          102.2600              0.1150                   0.0830
         11x10         7978           291.7800               0.3494                    0.0583        5599          105.1000              0.1771                   0.0816
          10x7         9790           293.4200               0.2851                    0.0582        6913          104.7700              0.1448                   0.0805
        9x46SF        12394           294.5800               0.2262                    0.0580        8761          103.0900              0.1118                   0.0821
        9x47SF        11115           294.0600               0.2526                    0.0580        7847          103.3000              0.1250                   0.0819
         95x45        13272           294.6000               0.2114                    0.0579        9416          107.1700              0.1084                   0.0789
        12x12E         6951           297.3800               0.4083                    0.0573        4883          105.6200              0.2055                   0.0805
         12x13         6664           300.9400               0.4272                    0.0573        4678          107.8500              0.2160                   0.0800
          95x6        11321           299.5700               0.2517                    0.0570        8014          107.2800              0.1281                   0.0784
        11x10E         8096           299.4800               0.3520                    0.0570        5688          106.9900              0.1774                   0.0800
    9x45MRF-RH        12432           300.0600               0.2297                    0.0569        8790          106.4900              0.1155                   0.0793
     11x55R-RH        11724           300.3400               0.2439                    0.0568        8294          107.3200              0.1231                   0.0790
        9x45MR        12461           300.6900               0.2296                    0.0568        8813          107.1000              0.1155                   0.0789
         9x45E        12757           302.4900               0.2258                    0.0564        9034          107.9700              0.1140                   0.0779
          10x8         9586           304.3200               0.3016                    0.0563        6757          108.8300              0.1529                   0.0780
        12x13N         6871           304.2200               0.4208                    0.0562        4825          108.7000              0.2128                   0.0786
         10x8E         9670           305.0600               0.2998                    0.0561        6815          108.4900              0.1511                   0.0781
          93x3        14362           306.4300               0.2031                    0.0556       10222          111.8500              0.1043                   0.0754
         9x6SF        10333           309.2700               0.2844                    0.0553        7282          107.9700              0.1407                   0.0787
           9x4        13812           308.0100               0.2128                    0.0553        9803          111.6600              0.1085                   0.0756
         11x11         7935           309.5000               0.3715                    0.0551        5566          111.4700              0.1880                   0.0769
         95x7N        15872           310.5400               0.1867                    0.0548        8311          113.4400              0.1297                   0.0746
        9x8E-3         9384           313.1100               0.3170                    0.0547        6605          111.6800              0.1596                   0.0764
           9x5        12980           311.9100               0.2295                    0.0545        9190          112.5400              0.1167                   0.0750
        11x12W         7295           316.3400               0.4111                    0.0543        5133          112.6800              0.2074                   0.0755
         9x6-4        10197           314.3100               0.2933                    0.0543        7198          113.5700              0.1500                   0.0746
          9x6E        11725           315.0100               0.2558                    0.0542        8276          112.2100              0.1288                   0.0755
           9x3        14845           315.0500               0.2026                    0.0540       10558          115.1900              0.1038                   0.0733
         12x14         6664           319.8100               0.4543                    0.0539        4677          114.0500              0.2293                   0.0757
        875x50        13129           318.6300               0.2314                    0.0535        9290          114.6800              0.1174                   0.0737
        95x75N        11739           320.5600               0.2601                    0.0532        8276          115.3900              0.1325                   0.0734
          10x9         9435           321.8500               0.3240                    0.0532        6639          115.2800              0.1641                   0.0739
           9x6        12392           320.8200               0.2463                    0.0532        8761          115.2500              0.1251                   0.0733
