Propeller,RPM@32N,Thrust@32N (N),Power@32N (W),Torque@32N (Nm),Cp@32N,Ct@32N,FOM@32N,Eff@32N (N/W),RPM@12N,Thrust@12N (N),Power@12N (W),Torque@12N (Nm),Cp@12N,Ct@12N,FOM@12N,Eff@12N (N/W)
18x10,5094,32,403.359,0.7505,0.02659,0.08256,0.71112,0.080045,3182,12.5,105.192,0.3073,0.02775,0.08177,0.67336,0.123392
181x12,4358,32,405.067,0.8666,0.04056,0.10932,0.71166,0.081641,2713,12.5,104.64,0.3517,0.04199,0.10849,0.68012,0.128204
20x18(F1-GT),3574,32,406.433,1.0482,0.04396,0.10833,0.64731,0.082977,2221,12.5,105.333,0.4214,0.04524,0.10787,0.62542,0.130007
17x7E,6021,32,412.935,0.6543,0.0225,0.07541,0.73421,0.07762,3767,12.5,106.718,0.2652,0.02304,0.07431,0.70088,0.121131
17x6,6017,32,413.485,0.656,0.0226,0.07551,0.73322,0.077491,3769,12.5,108.935,0.2696,0.02341,0.07421,0.68831,0.118433
18x12WE,4467,32,414.191,0.865,0.03956,0.10638,0.69967,0.079985,2790,12.5,105.751,0.3481,0.04057,0.10564,0.67516,0.125009
17x8,5404,32,414.831,0.7214,0.03056,0.09278,0.73825,0.078901,3379,12.5,108.242,0.2939,0.0316,0.09159,0.7011,0.121676
17x10WE,5010,32,416.931,0.7937,0.0394,0.10891,0.72708,0.076841,3128,12.5,107.247,0.3192,0.04031,0.10795,0.70204,0.120186
18x12,4948,32,417.376,0.8034,0.03023,0.08768,0.68427,0.077082,3093,12.5,108.605,0.3282,0.03143,0.08703,0.65104,0.117724
17x8E,5731,32,417.675,0.6877,0.02593,0.08274,0.73105,0.07789,3582,12.5,108.009,0.278,0.02661,0.08163,0.70064,0.12156
18x12E,4638,32,418.27,0.8439,0.03591,0.09886,0.69138,0.07881,2911,12.5,105.665,0.3403,0.03681,0.09817,0.66687,0.121467
17x6E,6362,32,418.502,0.6209,0.019,0.06712,0.72935,0.07768,4020,12.5,107.088,0.2529,0.01949,0.06601,0.69434,0.117101
17x10,5054,32,419.156,0.7883,0.03839,0.10684,0.72554,0.076777,3157,12.5,108.802,0.3201,0.03957,0.10578,0.69329,0.118938
17x8N,5705,32,419.24,0.694,0.02606,0.08249,0.72587,0.077645,3568,12.5,110.01,0.2837,0.02695,0.08128,0.68578,0.119126
