Propeller,MAX RPM,RPM@30N,Thrust@30N (N),Power@30N (W),Torque@30N (Nm),Cp@30N,Ct@30N,FOM@30N,Eff@30N (N/W),RPM@11N,Thrust@11N (N),Power@11N (W),Torque@11N (Nm),Cp@11N,Ct@11N,FOM@11N,Eff@11N (N/W)
205x14EPN,4268.292683,3528,30.5,349.926,0.9126,0.03474,0.09591,0.68239,0.092013,2121,11,79.93,0.3416,0.03588,0.09535,0.65479,0.146594
205x205E(CD),4268.292683,3250,30.5,420.263,1.1908,0.05095,0.10905,0.564,0.076239,1962,11,92.325,0.4423,0.05231,0.10869,0.54683,0.122538
20x10,4375,4121,30.5,337.662,0.7718,0.02466,0.07867,0.71405,0.091868,2445,11,81.136,0.2936,0.02597,0.07788,0.6679,0.149404
20x105PN,4375,3851,30.5,332.331,0.8119,0.02959,0.08983,0.72573,0.093921,2288,11,79.441,0.3075,0.03103,0.08904,0.68281,0.152153
20x10E,4375,4008,30.5,329.855,0.7858,0.0267,0.0837,0.7241,0.092597,2369,11,79.007,0.2945,0.02767,0.08291,0.68896,0.154233
20x10PN,4375,3821,30.5,330.05,0.8107,0.03001,0.09119,0.73123,0.094929,2273,11,78.409,0.3069,0.03144,0.09034,0.68929,0.154644
20x10W,4375,3720,30.5,333.225,0.834,0.03247,0.0957,0.7284,0.095179,2222,11,78.339,0.3152,0.03383,0.09481,0.68832,0.153477
20x11E,4375,3881,30.5,335.692,0.8167,0.02936,0.08864,0.71698,0.092608,2303,11,79.469,0.3058,0.03043,0.08792,0.68387,0.153492
20x12,4375,3976,30.5,342.084,0.8191,0.02822,0.08489,0.70048,0.089508,2350,11,82.49,0.3107,0.02975,0.0843,0.65689,0.147669
20x12WE,4375,3643,30.5,341.752,0.8687,0.03514,0.09952,0.71265,0.09356,2181,11,78.993,0.3247,0.03622,0.09879,0.68416,0.151171
20x13E,4375,3706,30.5,350.387,0.8791,0.03445,0.09645,0.69358,0.090693,2212,11,81.731,0.3287,0.03559,0.09578,0.66487,0.147042
20x14,4375,3880,30.5,357.844,0.8706,0.03138,0.08866,0.67184,0.086854,2299,11,85.539,0.3295,0.03298,0.08819,0.63426,0.141569
20x15(WCAR-T6),4375,3555,30.5,365.087,0.9459,0.04011,0.10432,0.67033,0.087988,2134,11,83.678,0.3559,0.04171,0.10384,0.63948,0.140718
20x15C,4375,3821,30.5,367.044,0.9015,0.03334,0.09115,0.65796,0.085375,2268,11,87.029,0.3406,0.03502,0.09075,0.62278,0.138919
20x15E,4375,3603,30.5,367.665,0.9419,0.0389,0.10164,0.66484,0.087218,2158,11,84.345,0.3517,0.04013,0.10115,0.63933,0.140829
20x18(F1-GT),4375,3487,30.5,379.715,1.0003,0.04401,0.10829,0.64636,0.084964,2099,11,85.857,0.3729,0.04538,0.10783,0.62298,0.135315
20x225EP(CD),4375,3318,30.5,475.241,1.3149,0.06394,0.11976,0.51691,0.067824,2011,11,103.318,0.4863,0.06539,0.1195,0.50413,0.107335
20x8,4375,4387,30.5,338.91,0.7205,0.02018,0.06893,0.71536,0.09297,2625,11,80.148,0.2755,0.02125,0.06805,0.66562,0.149137
20x8E,4375,4295,30.5,332.428,0.7228,0.02114,0.07198,0.72943,0.094627,2561,11,77.807,0.2723,0.02195,0.07122,0.69039,0.155498
20x8W,4375,4045,30.5,329.497,0.773,0.02569,0.08194,0.72872,0.093238,2396,11,79.714,0.2934,0.02702,0.081,0.68165,0.152329
215x105PN,4069.767442,3377,30.5,311.442,0.8468,0.02755,0.08606,0.73093,0.103385,2048,11,70.976,0.3222,0.02875,0.08532,0.69063,0.159435
215x10WPN,4069.767442,3380,30.5,310.849,0.844,0.02741,0.08597,0.73298,0.103555,2049,11,70.436,0.3214,0.02865,0.08513,0.69172,0.160918
215x13EPN,4069.767442,3263,30.5,322.843,0.9116,0.03199,0.09286,0.70568,0.099296,1979,11,71.732,0.342,0.03305,0.09219,0.67696,0.155817
21x105PN,4166.666667,3509,30.5,319.13,0.8366,0.02855,0.08796,0.72968,0.100849,2115,11,73.958,0.3178,0.02986,0.08716,0.6889,0.157511
21x10PN,4166.666667,3479,30.5,317.749,0.8395,0.02911,0.08944,0.73405,0.101384,2099,11,72.996,0.3188,0.03038,0.08865,0.69338,0.158876
21x10W,4166.666667,3435,30.5,320.361,0.856,0.03043,0.0917,0.72871,0.100563,2077,11,73.471,0.3245,0.03171,0.09094,0.69047,0.156272
21x12WE,4166.666667,3347,30.5,324.974,0.8918,0.03336,0.09671,0.7192,0.099199,2031,11,72.561,0.3341,0.03437,0.09602,0.69073,0.154609
21x135EPN,4166.666667,3352,30.5,335.808,0.9197,0.03436,0.09641,0.69593,0.095953,2032,11,74.494,0.3444,0.03537,0.09581,0.66874,0.150854
21x13E,4166.666667,3396,30.5,333.329,0.9001,0.03274,0.0939,0.70195,0.096767,2055,11,74.729,0.3373,0.03375,0.09332,0.67333,0.152297
21x13WE,4166.666667,3278,30.5,328.947,0.9229,0.03609,0.10097,0.70989,0.097604,1991,11,72.533,0.3454,0.03712,0.1004,0.6826,0.152649
22x10,3977.272727,3480,30.5,310.709,0.8203,0.02256,0.07424,0.71603,0.103509,2101,11,72.106,0.3136,0.0237,0.07354,0.67172,0.160694
22x10E,3977.272727,3391,30.5,307.002,0.8309,0.02398,0.07813,0.72605,0.105033,2055,11,69.524,0.3129,0.02486,0.07752,0.69253,0.163466
22x12E,3977.272727,3207,30.5,309.715,0.893,0.02894,0.08782,0.7171,0.102892,1932,11,69.463,0.3351,0.03004,0.08727,0.6856,0.166597
22x12WE,3977.272727,3009,30.5,300.261,0.9505,0.0355,0.10141,0.72511,0.101857,1762,11,71.63,0.3545,0.03685,0.1007,0.69207,0.179474
22x13EPN,3977.272727,3176,30.5,310.777,0.9075,0.03005,0.08971,0.71282,0.102118,1905,11,70.529,0.3404,0.03121,0.08907,0.68127,0.166307
22x8,3977.272727,3744,30.5,309.72,0.7708,0.0184,0.06455,0.71134,0.101958,2237,11,74.106,0.2957,0.01946,0.06379,0.66072,0.162192
24x12E,3645.833333,2755,30.5,282.701,0.9403,0.02657,0.08335,0.72288,0.115159,1607,11,68.501,0.3521,0.02781,0.08274,0.68436,0.199074
25x125E,3500,2513,30.5,277.374,0.9807,0.02679,0.08381,0.7223,0.121866,1461,11,67.984,0.367,0.02807,0.08328,0.68357,0.211462
26x13E,3365.384615,2333,30.5,268.529,1.0161,0.02643,0.083,0.72166,0.126343,1352,11,66.53,0.3802,0.0277,0.08254,0.68287,0.221356
26x15E,3977.272727,2241,30.5,272.345,1.0781,0.03056,0.09034,0.71005,0.123332,1295,11,68.029,0.4025,0.03197,0.08992,0.67399,0.216636
27x13E,3240.740741,2197,30.5,256.056,1.0406,0.0255,0.08112,0.72373,0.130069,1269,11,64.241,0.3894,0.0267,0.08063,0.68464,0.229162
